Date Decided,Citation,Appellants,Respondents,Case Note
-Petitioners in present case are all individuals directly or indirectly affected by
Thalassemia, and they are all committed to working to better people suffering
from this disease--In light of COVID-19 pandemic and condition of patients
suffering from Thalassemia in State of Bihar has become increasingly critical
with an apparent rise in fatalities with each passing day--This can be
attributed to a shortage of blood and a lack of arrangements for proper
treatment--An important aspect of striving to achieve social justice is to
ensure realization of Right to Health for all citizens, in recognition of it being
a part of Right to Life under Article 21 of Constitution of India--By virtue of
Article 47 of Constitution of India, State is under obligation to ensure raising
standard of public health--Health enables a person to live their life with
dignity--If treatment is scarcely available or, in an even worse scenario,
denied, it puts patient of Thalassemia squarely in path of danger to their life,
infringing their dignity--Unavailability or shortage of blood, medicines or any
other essentialities needed for treatment of Thalassemia patients is not a
pathway available to Government--Death of even a single person suffering
from disability for lack of resources is an affront to commitments of State to
international law--State is under obligation to compensate family who died
solely on account of non-availability of adequate medical facilities--Elaborate
directions issued. [2], [22], [23], [26] to [28]

                                   "
" 25.01.2021

                         ",MANU/KA/0183/2021," Anivar A. Aravind
                                      "," Ministry of Home Affairs and Ors.

","Constitution - Interim Relief - Article 21 of the Constitution of India - Issue in
petition concerns Aarogya Setu application introduced by Government of India
after nationwide lockdown was announced by Prime Minister on 24th March,
2020 - Whether government of India had right to use personal data of
Aarogya Setu app users on app and whether it could transfer/share data
without obtaining informed consent of users - Held, in view of facts and
circumstances of case, court must hold that as informed consent of user was
taken to privacy policy which contains details about use of information, its
transfer and retention, interim relief could not be granted restraining
collection of information, use of information and retention strictly as provided
in privacy policy which was available on Aarogya Setu app itself - Reason was
that prima facie, court have come to conclusion that considering procedure for
installation of Aarogya Setu app, there was informed consent of user taken
for doing something which was permissible as per privacy policy which was
very much available on Aarogya Setu app - In fact, before user provides his
personal mobile number and other details, his informed consent was required
to be taken to privacy policy and terms of service - He was given option at two
stages to opt out before sharing his cell phone number and other personal
details - However, information contains data about health of user which all
more requires protection of right to privacy - Prima facie, court find that
privacy of users, thereby amounting to violation of rights guaranteed under
Article 21 of Constitution and could not be permitted to be implemented -
Thus, court pass interim order accordinlgy. [24],[27],[28]

                                    "
" 25.09.2012

                                 ",MANU/UP/1904/2012," Arti Devi
                                          "," Central Information Commissioner and Ors.

",COULD NOT FIND CASE NOTE
" 07.03.2011

                    ",MANU/SC/0176/2011," Aruna Ramchandra Shanbaug
                                       "," Union of India (UOI) and Ors.

","Constitution of India, 1950 - Article 32--Maintainability of petition--Held--
fundamental right--Right to life guaranteed by Article 21 of Constitution does
not include the right to die--Petition is not maintainable.

""Brain Death""--Means complete absence of voluntary movements--This
patient can only be maintained alive by advanced life support machine--These
patients can be legally declared dead to allow their organs to be taken for
donation.

""Coma"" Patients--These patients are unconscious--They can not be awakened
even by application of a painful stimules--They have normal heart beat and
breathing and do not require advanced life support.

""Permanent vegetative stage""--In PVS complete absence of behavioral
evidence for self or environmental awareness--They can not voluntarily
control passing of urine and stools--They have normal heart beating and
breathing--There is no threat to life and can survive for many years.

""Life--Scope of--Held--Life is not mere living in health and health is not the
absence of illness but a glowing vitality.

""Withdrawal of life support""--Means and scope--Held--Withdrawal of life
support by Doctor is in law, considered as an omission and not a positive
steps to terminate life--Later would be euthanasia and a criminal offence.

""Active and Passive Euthanasia""--Held--Active euthanasia entails use of
lethal substances or forces to kill a person while passive euthanasia entails
with holding of medical treatment for discontinuance of life.





     08-08-2022 (Page 1 of 54)  www.manupatra.com        OP Jindal Global University""Permanent        Vegetative       Stage""--Characteristic--Held--Distinguishing
characteristic of PVS is that the brain stem remains alive and functioning
while the cortex has lost its functions--So PVS patient Continues to breath
unaided and his digestion continues to function--Though his eye are open but
unable to see and hear.

Indian Penal Code, 1860--Section 309--Attempt to suicide--Legality--Held--
Although Section 309 I.P.C. has been held to be constitutional valid but time
has come when it should be deleted by parliament as it has become
anachronistic--A person attempt to suicide in a depression and needs help.

""Withdrawal of Life Support"" of PVS Patient--Requisite--Held--A decision has
to be taken to discontinue life support either by the parents or spouse or
other close relatives or in the absence of any of them such a decision can be
taken even by a person or a body of persons acting as a next friend--It can
also be taken by doctor attending the patient--Decision should be taken bona
fide in the best interest of the patient.

Constitution   of  India, 1950--Article    226--Withdrawal     of life  support-
Competent court--Held--It is the High Court under Article 226 of Constitution
which can grant approval for withdrawal of life support to a competent
person--High Court under Article 226 of Constitution is not only entitled to
issue writ but is also entitled to issue directions and orders.
Application for ""withdrawal of life support""--Procedure to be adopted--Held--
When application for withdrawal of life support is filed than the Chief Justice
of High Court should forth with constitute a Bench of two Judges who should
decide to grant approval or not--Before doing so Bench should seek opinion of
experts--For this purpose a panel of Doctors in every city be prepared.

                                   "
" 22.04.2019

                         ",MANU/TN/1403/2019," Arunkumar and Ors.
                                       "," The Inspector General of Registration and Ors.

","Family - Gender - Validity of marriage - Present writ petition relates to
validity of marriage solemnized between male and transwoman, both
professing Hindu religion - Whether marriage solemnized between male and
transwoman, both professing Hindu religion, is valid marriage - Held, person
who is in third category entitled to remain beyond duality of male/female -
Entitled to opt to identify oneself as male or female - Entirely choice of
individual concerned - Fundamental rights of second petitioner infringed by
denial to register subject marriage - Orders impugned in this writ petition
stand quashed - Third respondent directed to register marriage solemnized
between petitioners - Marriage solemnized between male and transwoman,
both professing Hindu religion, is valid marriage - Petition allowed. [25]

                                     "
" 10.03.2021

                          ",MANU/KE/0718/2021," Ayishamol V. and Ors.
                                          "," The State of Kerala and Ors.

",COULD NOT FIND CASE NOTE
" 11.05.2022

                              ",MANU/DE/1679/2022," Azhar Rasheed
                                          "," State NCT of Delhi and Ors.

",COULD NOT FIND CASE NOTE
" 09.06.2017

                           ",MANU/SC/0693/2017," Binoy Viswam
                                      "," Union of India (UOI) and Ors.

","Direct Taxation - Constitutional validity - Quoting of Aadhaar number -
Compulsory - Section 139AA of Income Tax Act, 1961, Articles 14 and 19(1)
(g) of Constitution of India and Finance Act, 2017 - Challenge was made to
constitutional validity of Section 139AA of Act, 1961, which provision was
inserted by amendment to said Act vide Act, 2017 - Whether Section 139AA of
Act is discriminatory and offends Article 14 - Whether impugned provision is
violative of Article 19(1)(g) - Whether restrictions which would result in
terms of proviso to Sub-section (2) of Section 139AA of Act, 1961 are
reasonable or not

Facts:

Section 139AA of the Income Tax Act, 1961 has been inserted by the
amendment to the said Act vide Finance Act, 2017. As per the Section 139AA,
well as in the income-tax returns, the Assessee was obliged to quote Aadhaar
number. This was necessitated on any such applications for PAN or return of
income on or after July 01, 2017, which meant from that date quoting of
Aadhaar number became essential. Proviso to Sub-section (1) gives relaxation
from quoting Aadhaar number to those persons who do not possess Aadhaar
number but have already applied for issuance of Aadhaar card. In their cases,
the Enrolment ID of Aadhaar application form was to be quoted. It would
mean that those who would not be possessing Aadhaar card as on July 01,
2017 may have to necessarily apply for enrolment of Aadhaar before July 01,




     08-08-2022 (Page 1 of 71) www.manupatra.com        OP Jindal Global University2017. The effect of this provision was that every person who desires to obtain
PAN card or who is an Assessee has to necessarily enrol for Aadhaar. It made
obtaining of Aadhaar card compulsory for those persons who are income-tax
Assessees. Proviso to Sub-section (2) of Section 139AA of the Act stipulates
the consequences of failure to intimate the Aadhaar number. In those cases,
PAN allotted to such persons would become invalid not only from July 01,
2017, but from its inception as the deeming provision in this proviso mentions
that PAN would be invalid as if the person had not applied for allotment of
PAN, i.e. from the very beginning. Sub-section (3), however, gives discretion
to the Central Government to exempt such person or class or classes of
persons or any State or part of any State from the requirement of quoting
Aadhaar number in the application form for PAN or in the return of income.
Hence, the present petitions filed by the Petitioners, who claimed themselves
to be public spirited persons, challenge was laid to the constitutional validity
of Section 139AA of the Act, 1961.

According to the Petitioners, though Aadhaar Act prescribes that enrolment
under the Act is voluntary and gives choice to a person to enrol or not to enrol
himself and obtain Aadhaar card, this compulsive element thrusted in Section
139AA of the Act makes the said provision unconstitutional. The Petitioners
submitted that Petitioners would not be pitching their case on the 'Right to
Privacy' and would be questioning the validity of Section 139AA of the Act
primarily on Articles 14 and 19 of the Constitution.
Held, while disposing off the petitions:

(i) Challenge to Aadhaar scheme/legislation on the ground that it was
violative of Article 21 of the Constitution was pending before the Constitution
Bench and, therefore, the present Bench could not have decided that issue.
Since the Supreme Court and the High Courts are treated as the 'ultimate
arbiter in all matters involving interpretation of the Constitution, it is the
Courts which have the final say on questions relating to rights and whether
such a right is violated or not. [71] and[73]

(ii) In exercise of power of judicial review, Indian Courts are invested with
powers to strike down primary legislation enacted by the Parliament or the
State legislatures. However, while undertaking this exercise of judicial
review, the same is to be done at three levels. In the first stage, the Court
would examine as to whether impugned provision in a legislation is
compatible with the fundamental rights or the Constitutional provisions
(substantive judicial review) or it falls foul of the federal distribution of
powers (procedural judicial review). If it is not found to be so, no further
exercise is needed as challenge would fail. On the other hand, if it is found
that Legislature lacks competence as the subject legislated was not within
the powers assigned in the list in VII Schedule, no further enquiry is needed
and such a law is to be declared as ultra vires the Constitution. However,
while undertaking substantive judicial review, if it is found that the impugned
provision appears to be violative of fundamental rights or other Constitutional
rights, the Court reaches the second stage of review. At this second phase of
enquiry, the Court is supposed to undertake the exercise as to whether the
impugned provision can still be saved by reading it down so as to bring it in
conformity with the Constitutional provisions. If that is not achievable then




     08-08-2022 (Page 2 of 71) www.manupatra.com        OP Jindal Global Universitythe enquiry enters the third stage. If the offending portion of the statute is
severable, it is severed and the Court strikes down the impugned provision
declaring the same as unconstitutional. [80]

(iii) When it comes to exercising the power of judicial review of a legislation,
the scope of such a power has to be kept in mind and the power is to be
exercised within the limited sphere assigned to the judiciary to undertake the
judicial review. Unless the Petitioner demonstrated that the Parliament, in
enacting the impugned provision, had exceeded its power prescribed in the
Constitution or this provision violates any of the provision, the argument
predicated on 'limited governance' will not succeed. One of the ingredients
needed to be established by the Petitioners in order to succeed. [85]

(iv) The Aadhaar Act is enacted to enable the Government to identify
individuals for delivery of benefits, subsidies and services under various
welfare schemes. As per the Government and UIDAI itself, the requirement of
obtaining Aadhaar number is voluntary. It has been so claimed by UIDAI on
its website and clarification to this effect has also been issued by UIDAI.
Thus, enrolment under Aadhaar was voluntary. [90] and[91]

(v) On the one hand, enrollment under Aadhaar card was voluntary, however,
for the purposes of Income Tax Act, 1961, Section 139AA makes it compulsory
for the Assessees to give Aadhaar number which means insofar as income tax
the Aadhaar Act and obtain Aadhaar number which will be their identification
number as that has become the requirement under the Income Tax Act, 1961.
[92]

(vi) A harmonious reading of the two enactments, the Aadhaar Act and the
Income Tax Act, 1961 would clearly suggests that whereas enrollment of
Aadhaar is voluntary when it comes to taking benefits of various welfare
schemes even if it is presumed that requirement of Section 7 of Aadhaar Act
that it is necessary to provide Aadhaar number to avail the benefits of
schemes and services, it is upto a person to avail those benefits or not. On the
other hand, purpose behind enacting Section 139AA is to check a menace of
black money as well as money laundering and also to widen the income tax
net so as to cover those persons who are evading the payment of tax. [93]

(vii) Article 14 in its ambit and sweep involves two facets, viz., it permits
reasonable classification which is founded on intelligible differentia and
accommodates the practical needs of the society and the differential must
have a rational relation to the objects sought to be achieved. Further, it does
not allow any kind of arbitrariness and ensures fairness and equality of
treatment. It is the fonjuris of our Constitution, the fountainhead of justice.
Differential treatment does not per se amount to violation of Article 14 of the
Constitution and it violates Article 14 only when there is no reasonable basis
and there are several tests to decide whether a classification is reasonable or
not and one of the tests will be as to whether it is conducive to the
functioning of modern society. It could not be said that there was no nexus
with the objective sought to be achieved. [96] and[100]

(viii) The principle of equality does not mean that every law must have




     08-08-2022 (Page 3 of 71) www.manupatra.com       OP Jindal Global Universityuniversal application for all persons who are not by nature, attainment or
circumstances, in the same position, as the varying needs of different classes
of persons often require separate treatment. It is permissible for the State to
classify persons for legitimate purposes. The Legislature is also competent to
exercise its discretion and make classification. In the present scenario the
impugned legislation has created two classes, i.e. one class of those persons
who are Assessees and other class of those persons who are income tax
Assessees. It is because of the reason that the impugned provision is
applicable only to those who are filing income tax returns. Therefore, the only
question would be as to whether this classification is reasonable or not. There
cannot be any dispute that there is a reasonable basis for differentiation and,
therefore, equal protection Clause enshrined in Article 14 is not attracted.
What Article 14 prohibits is class legislation and not reasonable classification
for the purpose of legislation. All income tax assessees constitute one class
and they are treated alike by the impugned provision. [103]

(ix) If the PAN of a person is withdrawn or is nullified, it definitely amounts
to placing restrictions on the right to do business as a business Under Article
19(1)(g) of the Act. The provision is aimed at seeding Aadhaar with PAN. One
of the main objectives is to de-duplicate PAN cards and to bring a situation
where one person is not having more than one PAN card or a person is not
able to get PAN cards in assumed/fictitious names. In such a scenario, if
those persons who violate        Section 139AA     of the    Act without any
of the Legislature to make penal provisions for violation of any law made bye
it. In the instant case, requirement of giving Aadhaar enrolment number to
the designated authority or stating this number in the income tax returns is
directly connected with the issue of duplicate/fake PANs. [115] and[122]

(x) Those who were not PAN holders, while applying for PAN, they were
required to give Aadhaar number. This is the stipulation of Sub-section (1) of
Section 139AA. At the same time, as far as existing PAN holders were
concerned, since the impugned provisions qwre yet to be considered on the
touchstone of Article 21 of the Constitution, including on the debate around
Right to Privacy and human dignity, etc. as limbs of Article 21, till the aspect
of Article 21 is decided by the Constitution Bench a partial stay of the
aforesaid proviso is necessary. Those who had already enrolled themselves
under Aadhaar scheme would comply with the requirement of Sub-section (2)
of Section 139AA of the Act. Those who still want to enrol are free to do so.
However, those Assessees who were not Aadhaar card holders and did not
comply with the provision of Section 139(2), their PAN cards be not treated as
invalid for the time being. It was only to facilitate other transactions which
were mentioned in Rule 114B of the Rules. A person who is holder of PAN and
if his PAN is invalidated, he is bound to suffer immensely in his day to day
dealings, which situation should be avoided till the Constitution Bench
authoritatively determines the argument of Article 21 of the Constitution. It
would be permissible for the Parliament to consider as to whether there is a
need to tone down the effect of the said proviso by limiting the consequences.
Proviso to Section 139AA(2) cannot be read retrospectively. If failure to
intimate the Aadhaar number renders PAN void ab initio with the deeming
provision that the PAN allotted would be invalid as if the person had not
applied for allotment of PAN would have rippling effect of unsettling settled




     08-08-2022 (Page 4 of 71) www.manupatra.com        OP Jindal Global Universityrights of the parties. It had the effect of undoing all the acts done by a person
on the basis of such a PAN. It may have even the effect of incurring other
penal consequences under the Act for earlier period on the ground that there
was no PAN registration by a particular Assessee. The rights which are
already accrued to a person in law cannot be taken away. Therefore, this
provision needs to be read down by making it clear that it would operate
prospectively. [125] and[126]

(xi) A large Section of citizens feel concerned about possible data leak, even
when many of those support linkage of PAN with Aadhaar. This was a concern
which needed to be addressed by the Government. It was important that the
apprehensions are assuaged by taking proper measures so that confidence is
instilled among the public at large that there is no chance of unauthorised
leakage of data whether it is done by tightening the operations of the
contractors who are given the job of enrollment, they being private persons or
by prescribing severe penalties to those who are found guilty of leaking the
details, is the outlook of the Government. However, measures in this behalf
are absolutely essential and it would be in the fitness of things that proper
scheme in this behalf is devised at the earliest. [127]

(xii) The Parliament was fully competent to enact Section 139AA of the Act
and its authority to make this law was not diluted by the orders of the
present Court. There was no conflict between the provisions of Aadhaar Act
harmoniously, they operate in distinct fields. Section 139AA of the Act is not
discriminatory nor it offends equality Clause enshrined in Article 14 of the
Constitution. Section 139AA is also not violative of Article 19(1)(g) of the
Constitution insofar as it mandates giving of Aadhaar enrollment number for
applying PAN cards in the income tax returns or notified Aadhaar enrollment
number to the designated authorities. Further, proviso to Sub-section (2)
thereof has to be read down to mean that it would operate only prospective.
The validity of the provision upheld is subject to passing the muster of Article
21 of the Constitution, which was the issue before the Constitution Bench.
Till then, there shall remain a partial stay on the operation of proviso to Sub-
section (2) of Section 139AA of the Act. [128]

                                  JUDGMENT

A.K. Sikri, J.

public spirited persons, challenge is laid to the constitutional validity of Section 139AA
of the Income Tax Act, 1961 (hereinafter referred to as the 'Act'), which provision has
been inserted by the amendment to the said Act vide Finance Act, 2017. Section139AA
of the Act reads as under:

    Quoting of Aadhaar number. - (1) Every person who is eligible to obtain
    Aadhaar number shall, on or after the 1tday of July, 2017, quote Aadhaar
    number-

       (i) in the application form for allotment of permanent account number;

       (ii) in the return of income:




     08-08-2022 (Page 5 of 71) www.manupatra.com        OP Jindal Global University        Provided that where the person does not possess the Aadhaar Number,
        the Enrolment ID of Aadhaar application form issued to him at the time
        of enrolment shall be quoted in the application for permanent account
        number or, as the case may be, in the return of income furnished by
        him.

    (2) Every person who has been allotted permanent account number as on the
    1st day of July, 2017, and who is eligible to obtain Aadhaar number, shall
    intimate his Aadhaar number to such authority in such form and manner as may
    be prescribed, on or before a date to be notified by the Central Government in
    the Official Gazette:

        Provided that in case of failure to intimate the Aadhaar number, the
        permanent account number allotted to the person shall be deemed to
        be invalid and the other provisions of this Act shall apply, as if the
        person had not applied for allotment of permanent account number.
    (3) The provisions of this Section shall not apply to such person or class or
    classes of persons or any State or part of any State, as may be notified by the
    Central Government in this behalf, in the Official Gazette.

    Explanation. - For the purposes of this section, the expressions -

        (i) ""Aadhaar number"", ""Enrolment"" and ""resident"" shall have the same
        meanings respectively assigned to them in Clauses (a), (m) and (v) of
        Section 2 of the Aadhaar (Targeted Delivery of Financial and other
        Subsidies, Benefits and Services) Act, 2016 (18 of 2016);

        issued to a resident at the time of enrolment. Identification Number

2. Even a cursory look at the aforesaid provision makes it clear that in the application
forms for allotment of Permanent Account Number (for short, 'PAN') as well as in the
income-tax returns, the Assessee is obliged to quote Aadhaar number. This is
necessitated on any such applications for PAN or return of income on or after July 01,
2017, which means from that date quoting of Aadhaar number for the aforesaid
purposes becomes essential. Proviso to Sub-section (1) gives relaxation from quoting
Aadhaar number to those persons who do not possess Aadhaar number but have already
applied for issuance of Aadhaar card. In their cases, the Enrolment ID of Aadhaar
application form is to be quoted. It would mean that those who would not be
possessing Aadhaar card as on July 01, 2017 may have to necessarily apply for
enrolment of Aadhaar before July 01, 2017.

3. The effect of this provision, thus, is that every person who desires to obtain PAN card
or who is an Assessee has to necessarily enrol for Aadhaar. It makes obtaining of
Aadhaar card compulsory for those persons who are income-tax Assessees. Proviso to
Sub-section (2) of Section 139AA of the Act stipulates the consequences of failure to
intimate the Aadhaar number. In those cases, PAN allotted to such persons would
become invalid not only from July 01, 2017, but from its inception as the deeming
provision in this proviso mentions that PAN would be invalid as if the person had not
applied for allotment of PAN, i.e. from the very beginning. Sub-section (3), however,
gives discretion to the Central Government to exempt such person or class or classes of
number in the application form for PAN or in the return of income.quoting Aadhaar




      08-08-2022 (Page 6 of 71)    www.manupatra.com           OP Jindal Global UniversityThe challenge is to this compulsive nature of provision inasmuch as with the
introduction of the aforesaid provision, no discretion is left with the income-tax
Assessees insofar as enrolment under the Aadhaar (Targeting Delivery of Financial and
Other Subsidies, Benefits and Services) Act, 2016 (hereinafter referred to as the
'Aadhaar Act') is concerned. According to the Petitioners, though Aadhaar Act prescribes
that enrolment under the said Act is voluntary and gives choice to a person to enrol or
not to enrol himself and obtain Aadhaar card, this compulsive element thrusted in
Section 139AA of the Act makes the said provision unconstitutional. The basis on which
the Petitioners so contend would be taken note of at the appropriate stage. Purpose of
these introductory remarks was to highlight the issue involved in these writ petitions at
the threshold.

4. Before we take note of the arguments advanced by the Petitioners and the rebuttal
thereof by the Respondents, it would be in the fitness of things to take stock of
historical facts pertaining to the Aadhaar scheme and what Aadhaar enrolment amounts
to.
Aadhaar Scheme and its administrative and statutory framework

5 . Respondent No. 1, Union of India, through the Planning Commission, issued
Notification dated January 28, 2009, constituting the Unique Identification Authority of
India (for short, 'UIDAI') for the purpose of implementing of Unique Identity (UID)
scheme wherein a UID database was to be collected from the residents of India.
Pursuant to the said Notification, the Government of India appointed Shri Nandan
Nilekhani, an entrepreneur, as the Chairman of the UIDAI on July 02, 2009. According
to this scheme, every citizen of India is entitled to enrol herself/himself with it and get
a unique, randomly selected 12 digit number. For such enrolment, every person so
intending would have to provide his/her personal information along with biometric
details such a fingerprints and iris scan for future identification. Accordingly, it is
intended to create a centralized database under the UIDAI with all the above
information. The scheme was launched in September 2010 in the rural areas of
Maharashtra and thereafter extended all over India. One of the objects of the entire
project was non-duplication and elimination of fake identity cards.
6. On December 03, 2010, the National Identification Authority of India Bill, 2010 was
introduced in the Rajya Sabha. On December 13, 2011, the Standing Committee Report
was submitted to the Parliament stating that both the Bill and project should be re-
considered. The Parliamentary Standing Committee on Finance rejected the Bill of 2010
as there was opposition to the passing of the aforesaid Bill by the Parliament. Be that as
it may, the said Bill of 2010 did not get through. The result was that as on that date,
Aadhaar Scheme was not having any statutory backing but was launched and continued
to operate in exercise of executive power of the Government. It may also be mentioned
that the Government appointed private enrollers and these private collection/enrolment
centres run by private parties continued to enrol the citizens under the UID scheme.

7. Writ Petition (Civil) No. 494 of 2012, Under Article 32 of the Constitution of India,
was preferred by Justice K.S. Puttuswamy, a former Judge of the Karnataka High Court
before this Court, challenging the UID scheme stating therein that the same does not
have any statutory basis and it violated the 'Right to Privacy', which is a facet of Article
21 of the Constitution. This Court decided to consider the plea raised in the said writ
petition and issued notice. Vide order dated September 23, 2013, the Court also passed
the following directions:





      08-08-2022 (Page 7 of 71)    www.manupatra.com           OP Jindal Global University    In the meanwhile, no person should suffer for not getting the Aadhaar card in
    spite of the fact that some authority had issued a circular making it mandatory
    and when any person applies to get the Aadhaar Card voluntarily, it may be
    checked whether that person is entitled for it under the law and it should not be
    given to any illegal immigrant.

In the meanwhile, various writ petitions were filed by public spirited citizens and
organisations challenging the validity of the Aadhaar scheme and this Court has tagged
all those petitions along with Writ Petition (Civil) No. 494 of 2012.

Court passed orders requiring UIDAI to provide biometric information to CBI forHigh
investigation purposes with respect to a criminal trial. This order was challenged by
UIDAI by filing Special Leave Petition (Criminal) No. 2524 of 2014, in which orders
dated March 24, 2014 were passed by this Court restraining the UIDAI from transferring
any biometric information to any agency without the written consent of the concerned
individual. The said order is in the following terms:

    In the meanwhile, the present Petitioner is restrained from transferring any
    biometric information of any person who has been allotted the Aadhaar number
    to any other agency without his consent in writing.

    More so, no person shall be deprived of any service for want of Aadhaar
    number in case he/she is otherwise eligible/entitled. All the authorities are
    directed to modify their forms/circulars/likes so as to not compulsorily require
    the Aadhaar number in order to meet the requirement of the interim order
    passed by this Court forthwith.
9 . Thereafter, the aforesaid writ petitions and special leave petitions were taken up
together. Matter was heard at length by a three Judges Bench of this Court and detailed
arguments were advanced by various counsel appearing for the Petitioners as well as
the Attorney General for India who appeared on behalf of the Union of India. As stated
above, one of the main grounds of attack on Aadhaar Card scheme was that the very
collection of biometric data is violative of the 'Right to Privacy', which, in turn, violated
not only Article 21 of the Constitution of India but other Articles embodying the
fundamental rights guaranteed under Part III of the Constitution. This argument was
sought to be rebutted by the Respondents with the submission that in view of eight
Judges' Bench judgment of this Court inM.P. Sharma and Ors. v. Satish Chandra
and Ors. MANU/SC/0018/1954 : AIR 1954 SC 300 and that of six Judges' Bench in
Kharak Singh v. State of U.P. and Ors. MANU/SC/0085/1962 : AIR 1963 SC 1295,
the legal position regarding the existence of fundamental Right to Privacy is doubtful. At
the same time, it was also accepted that subsequently smaller Benches of two or three
Judges of this Court had given the judgments recognising the Right to Privacy as part of
Article 21 of the Constitution. On that basis, Respondents submitted that the matters
were required to be heard by a Larger Bench to debate important questions like:

    (i) Whether there is any Right to Privacy guaranteed under the Constitution;
    and

    (ii) If such a Right exists, what is the source and what are the contours of such
    Right to Privacy.is no express provision in the Constitution adumbrating the

10. Though, this suggestion of the Respondents were opposed by the counsel for the




      08-08-2022 (Page 8 of 71)    www.manupatra.com           OP Jindal Global UniversityPetitioners, the said Bench still deemed it proper to refer the matter to the Larger Bench
and the reasons for taking this course of action are mentioned in paras 12 and 13 of the
order dated August 11, 2015 which reads as under:

    12. We are of the opinion that the cases on hand raise far reaching questions
    of importance involving interpretation of the Constitution. What is at stake is
    the amplitude of the fundamental rights including that precious and inalienable
    right Under Article 21. If the observations made inM.P. Sharma (supra) and
    Kharak Singh (supra) are to be read literally and accepted as the law of this
    country, the fundamental rights guaranteed under the Constitution of India and
    more particularly right to liberty Under Article 21 would be denuded of vigour
    and vitality. At the same time, we are also of the opinion that the institutional
    integrity and judicial discipline require that pronouncement made by larger
    Benches of this Court cannot be ignored by the smaller Benches without
    appropriately explaining the reasons for not following the pronouncements
    made by such larger Benches. With due respect to all the learned Judges who
    referred to their Lordships concern for the liberty of human beings, we are of
    the humble opinion that there appears to be certain amount of apparent
    unresolved contradiction in the law declared by this Court.

    13. Therefore, in our opinion to give a quietus to the kind of controversy raised
    in this batch of cases once for all, it is better that ratio decidendi of M.P.
    Sharma (supra) and Kharak Singh (supra) is scrutinized and the jurisprudential
    correctness of the subsequent decisions of this Court where the right to privacy
    is either asserted or referred be examined and authoritatively decided by a
    Bench of appropriate strength.

11. While referring the matter as aforesaid, by another order of the even date, the
Bench expressed that it would be desirable that the matter be heard at the earliest. On
the same day, yet another order was passed by the Bench in those petitions giving
certain interim directions which would prevail till the matter is finally decided by the
Larger Bench. We would like to reproduce this order containing the said interim
arrangement in toto:
                                     INTERIM "
" 09.08.2011

           ",MANU/SC/0932/2011," Central Board of Secondary Education and Ors.
                                       "," Aditya Bandopadhyay and Ors.
","Right to Information - Right to inspect evaluated answer books - Right to
Information Act, 2005 - Appeal against order of High Court holding that
evaluated answer-books of an examinee writing a public examination
conducted by statutory bodies like CBSE or any University or Board of
